"Rank","ID","Country","Continent","Population","IMF_GDP","UN_GDP","GDP_per_capita"
116,332,"Haiti","North America",11724.76,2.1195e+10,7647347306,1807.71
117,466,"Mali","Africa",23293.7,2.1191e+10,14001696748,909.73
118,496,"Mongolia","Asia",3447.16,2.1047e+10,11160356685,6105.61
119,204,"Benin","Africa",13712.83,2.0029e+10,8893638002,1460.6
120,72,"Botswana","Africa",2675.35,1.9821e+10,15566057294,7408.74
121,508,"Mozambique","Africa",33897.35,1.9519e+10,10930131568,575.83
122,8,"Albania","Europe",2832.44,1.9062e+10,11863866791,6729.89
123,470,"Malta","Europe",535.06,1.8627e+10,10998577038,34812.66
124,418,"Laos","Asia",7633.78,1.7996e+10,15805707090,2357.42
125,562,"Niger","Africa",27202.84,1.7303e+10,7528285819,636.07
126,558,"Nicaragua","North America",7046.31,1.6776e+10,13230214875,2380.82
127,328,"Guyana","South America",813.83,1.6377e+10,3436626633,20123.27
128,388,"Jamaica","North America",2825.54,1.6208e+10,14056901075,5736.24
129,51,"Armenia","Europe",2777.97,1.5842e+10,10572299425,5702.73
130,178,"Republic of the Congo","Africa",6106.87,1.5641e+10,7778081883,2561.21
131,807,"North Macedonia","Europe",2085.68,1.5546e+10,10745782586,7453.69
132,450,"Madagascar","Africa",30325.73,1.5189e+10,11222263845,500.86
133,226,"Equatorial Guinea","Africa",1714.67,1.4956e+10,10677940568,8722.37
134,516,"Namibia","Africa",2604.17,1.4205e+10,10947277246,5454.71
135,498,"Moldova","Europe",3435.93,1.3752e+10,6772647958,4002.41
136,44,"Bahamas","North America",412.62,1.363e+10,11261800000,33032.57
137,148,"Chad","Africa",18278.57,1.3517e+10,11267295771,739.5
138,646,"Rwanda","Africa",14094.68,1.317e+10,8473784827,934.39
139,480,"Mauritius","Africa",1300.56,1.2538e+10,12216235024,9640.48
140,454,"Malawi","Africa",20931.75,1.1325e+10,5318197658,541.04
141,728,"South Sudan","Africa",11088.8,1.0771e+10,6534451826,971.34
142,478,"Mauritania","Africa",4862.99,9.705e+09,4667119320,1995.69
143,768,"Togo","Africa",9053.8,9.539e+09,4449262345,1053.59
144,417,"Kyrgyzstan","Asia",6735.35,9.511e+09,6551291140,1412.1
145,706,"Somalia","Africa",18143.38,9.185e+09,1318057519,506.25
146,762,"Tajikistan","Asia",10143.54,7.699e+09,6951679338,759.01
147,499,"Montenegro","Europe",626.49,6.679e+09,4373958354,10661.07
148,462,"Maldives","Asia",521.02,6.109e+09,4224207488,11725.06
149,52,"Barbados","North America",282,5.926e+09,4552793288,21014.56
150,242,"Fiji","Oceania",936.38,5.734e+09,4671118364,6123.62
151,748,"Eswatini","Africa",1210.82,4.945e+09,4007002048,4084
152,694,"Sierra Leone","Africa",8791.09,4.266e+09,3674756785,485.26
153,262,"Djibouti","Africa",1136.46,4.199e+09,1891520369,3694.82
154,430,"Liberia","Africa",5418.38,4.064e+09,2756817825,750.04
155,108,"Burundi","Africa",13238.56,3.686e+09,2873699606,278.43
156,20,"Andorra","Europe",80.09,3.58e+09,2858406626,44700.83
157,533,"Aruba","North America",106.28,3.395e+09,2667039106,31944.82
158,740,"Suriname","South America",623.24,3.119e+09,3278445033,5004.52
159,64,"Bhutan","Asia",787.42,2.881e+09,2212642587,3658.77
160,140,"Central African Republic","Africa",5742.32,2.877e+09,1810388740,501.02
161,232,"Eritrea","Africa",3748.9,2.777e+09,5413804303,740.75
162,426,"Lesotho","Africa",2330.32,2.716e+09,2241017076,1165.51
163,270,"Gambia","Africa",2773.17,2.341e+09,985831536,844.16
164,662,"Saint Lucia","North America",180.25,2.277e+09,1397066906,12632.38
165,132,"Cape Verde","Africa",598.68,2.178e+09,1638928099,3637.99
166,84,"Belize","North America",410.83,2.135e+09,1741100000,5196.86
167,626,"Timor-Leste","Asia",1360.6,2.035e+09,2703285752,1495.67
168,690,"Seychelles","Africa",107.66,1.804e+09,1433826317,16756.46
169,624,"Guinea-Bissau","Africa",2150.84,1.802e+09,1122643236,837.81
170,90,"Solomon Islands","Oceania",740.42,1.783e+09,1133967215,2408.08
171,674,"San Marino","Europe",33.64,1.777e+09,1590761265,52820.88
172,28,"Antigua and Barbuda","North America",94.3,1.768e+09,1460157909,18749.07
173,174,"Comoros","Africa",852.08,1.386e+09,1149802573,1626.62
174,308,"Grenada","North America",126.18,1.275e+09,1016208148,10104.37
175,659,"Saint Kitts and Nevis","North America",47.76,1.216e+09,909854620,25463.3
176,548,"Vanuatu","Oceania",334.51,1.071e+09,837519790,3201.74
177,670,"Saint Vincent and the Grenadines","North America",103.7,1.043e+09,765318745,10058.05
178,882,"Samoa","Oceania",225.68,8.68e+08,822233281,3846.14
179,212,"Dominica","North America",73.04,6.95e+08,581484032,9515.33
180,776,"Tonga","Oceania",107.77,5.74e+08,401460313,5326.01
181,678,"Sao Tome and Principe","Africa",231.86,5.69e+08,342781695,2454.11
182,583,"Micronesia","Oceania",115.22,4.52e+08,329895643,3922.79
183,585,"Palau","Oceania",18.06,2.96e+08,310248000,16391.63
184,584,"Marshall Islands","Oceania",42,2.84e+08,1.83e+08,6762.55
185,296,"Kiribati","Oceania",133.52,2.33e+08,173655146,1745.12
186,520,"Nauru","Oceania",12.78,1.38e+08,103469824,10798.12
187,798,"Tuvalu","Oceania",11.4,7.1e+07,36697185,6230.26
188,4,"Afghanistan","Asia",42239.85,0,20235063330,479.05
189,60,"Bermuda","North America",64.07,0,6127341000,95636.59
190,92,"British Virgin Islands","North America",31.54,0,971237110,30795.77
191,136,"Cayman Islands","North America",69.31,0,3844080626,55462.14
192,184,"Cook Islands","Oceania",17.04,0,290194195,17026.18
193,192,"Cuba","North America",11194.45,0,89688700000,8011.89
194,258,"French Polynesia","Oceania",308.87,0,5417934152,17541.03
195,275,"Palestine","Asia",5371.23,0,13397100000,2494.23
196,304,"Greenland","North America",56.64,0,2282927882,40303.8
197,408,"North Korea","Asia",26160.82,0,16788601831,641.75
198,412,"Kosovo","Europe",1663.59,0,6714465857,4036.12
199,422,"Lebanon","Asia",5353.93,0,50457653265,9424.41
200,438,"Liechtenstein","Europe",39.58,0,6193677543,156469.22
201,492,"Monaco","Europe",36.3,0,6468000877,178196.57
202,500,"Montserrat","North America",4.39,0,62051375,14147.6
203,531,"Curacao","North America",192.08,0,3121449966,16251.03
204,534,"Sint Maarten","North America",44.22,0,1072067039,24242.84
205,540,"New Caledonia","Oceania",292.99,0,9445714851,32238.92
206,586,"Pakistan","Asia",240485.66,0,282506007859,1174.73
207,660,"Anguilla","North America",15.9,0,337520470,21229.04
208,729,"Sudan","Africa",48109.01,0,82887395895,1722.91
209,760,"Syria","Asia",23227.01,0,22163075121,954.19
210,788,"Tunisia","Africa",12458.22,0,41703561397,3347.47
211,796,"Turks and Caicos Islands","North America",46.06,0,917550492,19919.9
212,804,"Ukraine","Europe",36744.63,0,93270354852,2538.34
