Metric Code,Segment,Subject,Source
05_10,Political Sociology,War and Armed Conflicts,Uppsala Universitet - Uppsala Conflict Data Program
05_11,Political Sociology,War and Armed Conflicts,Uppsala Universitet - Uppsala Conflict Data Program
05_12,Political Sociology,War and Armed Conflicts,Uppsala Universitet - Uppsala Conflict Data Program
05_13,Political Sociology,War and Armed Conflicts,Uppsala Universitet - Uppsala Conflict Data Program
05_14,Political Sociology,War and Armed Conflicts,Uppsala Universitet - Uppsala Conflict Data Program
05_15,Political Sociology,Political Inclinations,World Values Survey
05_16,Political Sociology,Democracy and Governance,Electoral Integrity Global Report
05_17,Political Sociology,Democracy and Governance,Varieties of Democracy (V-Dem)
06_01,Health and Well-Being,Health,The World Bank
06_02,Health and Well-Being,Health,The World Bank
06_03,Health and Well-Being,Health,"World Health Organization (WHO), NCD Risk Factor Collaboration (NCD-RisC)"
06_04,Health and Well-Being,Health,The World Bank
06_05,Health and Well-Being,Health,MIMI
06_06,Health and Well-Being,Health,International Labor Organization (ILOSTAT)
06_07,Health and Well-Being,Health,International Labor Organization (ILOSTAT)
06_08,Health and Well-Being,Global Burden of Disease,The Institute for Health Metrics and Evaluation (IHME)
06_09,Health and Well-Being,Global Burden of Disease,The Institute for Health Metrics and Evaluation (IHME)
06_10,Health and Well-Being,Global Burden of Disease,The Institute for Health Metrics and Evaluation (IHME)
06_11,Health and Well-Being,Global Burden of Disease,The Institute for Health Metrics and Evaluation (IHME)
06_12,Health and Well-Being,Well-Being,World Happiness Report
06_13,Health and Well-Being,Mental Health,World Health Organization (WHO)
06_14,Health and Well-Being,Healthcare Access and Disparities,World Health Organization (WHO)
06_15,Health and Well-Being,Healthcare Access and Disparities,The World Bank
06_16,Health and Well-Being,Substance Abuse,(blank)
07_01,Educational Development,Worldwide Education Trends,The World Bank
07_02,Educational Development,Education Disparities and Affordability,(blank)
07_03,Educational Development,Education Disparities and Affordability,(blank)
07_04,Educational Development,Maximum Degree of Studies,Organisation for Economic Co-operation and Development (OECD)
07_05,Educational Development,Maximum Degree of Studies,Organisation for Economic Co-operation and Development (OECD)
08_01,Demographic Trends,Population Dynamics and Migration,(blank)
08_02,Demographic Trends,Population Dynamics and Migration,(blank)
08_03,Demographic Trends,Refugee Crisis,United Nations High Commissioner for Refugees (UNHCR)
08_04,Demographic Trends,Displaced Persons & Asylum Seekers,(blank)
08_05,Demographic Trends,Immigration and Integration,Migrant Integration Policy Index (MIPEX)
08_06,Demographic Trends,Natality Index,The World Bank
08_07,Demographic Trends,Life Conditions,The World Bank
08_08,Demographic Trends,Mortality Index,The World Bank
08_09,Demographic Trends,Total Population,The World Bank
08_10,Demographic Trends,Population Density,The World Bank
08_11,Demographic Trends,Religious Inclinations,(blank)
08_12,Demographic Trends,Race,(blank)
09_01,Housing and Living Standards,Housing Trends and Security,(blank)
09_02,Housing and Living Standards,Housing Trends and Security,(blank)
09_03,Housing and Living Standards,Housing Trends and Security,(blank)
09_04,Housing and Living Standards,Basic Amenities Access,(blank)
09_05,Housing and Living Standards,Basic Amenities Access,(blank)
10_01,Social and Humanitarian Issues,Violence and Crimes,(blank)
10_02,Social and Humanitarian Issues,Violence and Crimes,(blank)
10_03,Social and Humanitarian Issues,Violence and Crimes,Small Arms Survey
10_04,Social and Humanitarian Issues,Violence and Crimes,Small Arms Survey
10_05,Social and Humanitarian Issues,Violence and Crimes,(blank)
10_06,Social and Humanitarian Issues,Violence and Crimes,United Nations Office on Drugs & Crime (UNODOC)
10_07,Social and Humanitarian Issues,Violence and Crimes,United Nations Office on Drugs & Crime (UNODOC)
10_08,Social and Humanitarian Issues,Violence and Crimes,United Nations Office on Drugs & Crime (UNODOC)
10_09,Social and Humanitarian Issues,Violence and Crimes,United Nations Office on Drugs & Crime (UNODOC)
10_10,Social and Humanitarian Issues,Drug-Related Metrics,United Nations Office on Drugs & Crime (UNODOC)
10_11,Social and Humanitarian Issues,Drug-Related Metrics,United Nations Office on Drugs & Crime (UNODOC)
10_12,Social and Humanitarian Issues,Drug-Related Metrics,United Nations Office on Drugs & Crime (UNODOC)
10_13,Social and Humanitarian Issues,Drug-Related Metrics,United Nations Office on Drugs & Crime (UNODOC)
10_14,Social and Humanitarian Issues,Drug-Related Metrics,United Nations Office on Drugs & Crime (UNODOC)
10_15,Social and Humanitarian Issues,Drug-Related Metrics,United Nations Office on Drugs & Crime (UNODOC)
10_16,Social and Humanitarian Issues,Child Welfare,United Nations International Children's Emergency Fund (UNICEF)
10_17,Social and Humanitarian Issues,Child Welfare,United Nations International Children's Emergency Fund (UNICEF)
10_18,Social and Humanitarian Issues,Child Welfare,United Nations International Children's Emergency Fund (UNICEF)
10_19,Social and Humanitarian Issues,Child Welfare,United Nations International Children's Emergency Fund (UNICEF)
10_20,Social and Humanitarian Issues,Nuclear and Security,Federation of American Scientists (FAS)
10_21,Social and Humanitarian Issues,Nuclear and Security,NTI Nuclear Security Index
10_22,Social and Humanitarian Issues,Social Injustice and Rights,Othering & Belonging Institute
10_23,Social and Humanitarian Issues,Social Injustice and Rights,Equaldex
10_24,Social and Humanitarian Issues,Social Injustice and Rights,United Nations Development Programme (UNDP)
10_25,Social and Humanitarian Issues,Social Injustice and Rights,(blank)
10_26,Social and Humanitarian Issues,Social Injustice and Rights,(blank)
10_27,Social and Humanitarian Issues,Social Injustice and Rights,Reporters Without Borders (RSF)
10_28,Social and Humanitarian Issues,Social Injustice and Rights,CATO Institute
10_29,Social and Humanitarian Issues,Food Insecurity,Global Hunger Index
10_30,Social and Humanitarian Issues,Food Insecurity,Food & Agriculture Organization of the United Nations
10_31,Social and Humanitarian Issues,Food Insecurity,Economist Impact
10_32,Social and Humanitarian Issues,Organized Crime,OC Index
10_33,Social and Humanitarian Issues,Travel Danger,US Department of State
